NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles,smiles_std,scaffold,split,smiles_for_qm,xtb_gap_eV,xtb_Etot_Ha
0,0,1,,,0,0,1,0,0,0,0,TOX3021,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,c1ccc2scnc2c1,train,CCOc1ccc2nc(S(N)(=O)=O)sc2c1,2.580779137,-48.84924913
0,0,0,0,0,0,0,,0,,0,0,TOX3020,CCN1C(=O)NC(c2ccccc2)C1=O,CCn1c(O)c(-c2ccccc2)[nH]c1=O,O=c1[nH]cc(-c2ccccc2)[nH]1,test,CCn1c(O)c(-c2ccccc2)[nH]c1=O,2.710445523,-43.66706086
,,,,,,,0,,0,,,TOX3024,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,C1=C2CCC3C4CCCC4CCC3C2CCC1,train,CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,4.755203443,-63.25174706
0,0,0,0,0,0,0,,0,,0,0,TOX3027,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,c1ccccc1,train,CCCN(CC)C(CC)C(=O)Nc1c(C)cccc1C,2.712858,-60.59112195
0,0,0,0,0,0,0,0,0,0,0,0,TOX20800,CC(O)(P(=O)(O)O)P(=O)(O)O,CC(O)(P(=O)(O)O)P(=O)(O)O,,valid,CC(O)(P(=O)(O)O)P(=O)(O)O,6.796052381,-42.06981522
0,0,0,0,0,0,0,,0,0,0,0,TOX5110,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,,valid,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,8.767310566,-67.73503949
0,0,0,0,0,0,0,0,0,0,0,0,TOX6619,O=S(=O)(Cl)c1ccccc1,O=S(=O)(Cl)c1ccccc1,c1ccccc1,train,O=S(=O)(Cl)c1ccccc1,3.801716455,-31.29306706
0,,0,,1,,,1,0,1,0,1,TOX25232,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,c1ccc(Oc2ccccc2)cc1,train,O=C(O)Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1,2.831572406,-62.25560599
0,0,0,0,0,0,0,0,0,0,,0,TOX22514,OC[C@H](O)[C@@H](O)[C@H](O)CO,OC[C@@H](O)[C@H](O)[C@@H](O)CO,,valid,OC[C@@H](O)[C@H](O)[C@@H](O)CO,10.16391663,-37.09482343
,,,,,,,0,,0,,,TOX22517,CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],CCCCCCCC(=O)[O-],,valid,CCCCCCCC(=O)[O-],4.502158448,-32.82194709
0,0,0,,0,0,0,,0,,,0,TOX25236,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,O=[PH](OCC1CCC(n2cnc3cncnc32)O1)O[PH](=O)OCC1CCC([n+]2ccccc2)O1,train,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,0.104658909,-141.3516867
0,0,,,0,0,0,0,0,0,0,0,TOX25238,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,O=c1ccn(C2CCCO2)c(=O)[nH]1,train,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,2.81054842,-54.88725565
0,0,0,0,0,0,0,0,0,0,0,0,TOX6612,CC(C)COC(=O)C(C)C,CC(C)COC(=O)C(C)C,,valid,CC(C)COC(=O)C(C)C,4.268585083,-33.43120258
0,0,0,0,0,0,0,0,0,0,0,0,TOX6615,C=C(C)C(=O)OCCOC(=O)C(=C)C,C=C(C)C(=O)OCCOC(=O)C(=C)C,,valid,C=C(C)C(=O)OCCOC(=O)C(=C)C,3.413126723,-44.75876212
0,0,0,,0,0,,1,0,0,0,,TOX15748,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,C1N2CN3CN1C[NH+](C2)C3,train,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,1.693389679,-43.53875982
0,0,0,0,0,0,1,0,0,0,0,0,TOX14833,O=C([O-])Cc1cccc2ccccc12,O=C([O-])Cc1cccc2ccccc12,c1ccc2ccccc2c1,train,O=C([O-])Cc1cccc2ccccc12,2.634632133,-38.32066425
0,0,0,,0,,,,,0,,,TOX26529,CCCCCCCCCCOCC(O)CN,CCCCCCCCCCOCC(O)CN,,valid,CCCCCCCCCCOCC(O)CN,9.912546238,-53.65791436
0,0,0,0,,0,0,,0,,0,0,TOX26524,CCN(CC)C(=O)c1cccnc1,CCN(CC)C(=O)c1cccnc1,c1ccncc1,train,CCN(CC)C(=O)c1cccnc1,2.315993218,-38.43895322
0,0,,0,,,0,,0,0,0,0,TOX26525,COc1cc(O)cc(O)c1,COc1cc(O)cc(O)c1,c1ccccc1,train,COc1cc(O)cc(O)c1,4.343450156,-31.24128623
,,,,,,,0,,0,,,TOX26526,CCOC(=O)c1cccnc1,CCOC(=O)c1cccnc1,c1ccncc1,train,CCOC(=O)c1cccnc1,2.221283118,-32.75109267
0,0,,0,1,1,0,,0,,0,0,TOX26521,CCOc1ccc(S(=O)(=O)O)c2cccnc12,CCOc1ccc(S(=O)(=O)O)c2cccnc12,c1ccc2ncccc2c1,train,CCOc1ccc(S(=O)(=O)O)c2cccnc12,1.950102922,-51.56293081
0,0,0,0,,0,0,0,0,0,0,0,TOX26523,O=C(O)[C@H](O)c1ccccc1,O=C(O)C(O)c1ccccc1,c1ccccc1,train,O=C(O)C(O)c1ccccc1,3.579923159,-33.37223951
0,0,1,,1,0,,1,1,0,,0,TOX4460,Nc1ccc(/N=N/c2ccccc2)cc1,Nc1ccc(N=Nc2ccccc2)cc1,c1ccc(N=Nc2ccccc2)cc1,train,Nc1ccc(N=Nc2ccccc2)cc1,0.533854905,-39.97915018
0,0,1,,0,0,0,,0,,,,TOX22631,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,c1ccc(C2CCc3ccccc32)cc1,train,CN[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21,2.984569483,-53.93370387
0,0,0,0,0,0,0,0,0,0,,0,TOX22632,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,O=C(OC1CC2CCC(C1)N2)c1ccccc1,train,CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1cc(Cl)cc(Cl)c1)C2,1.547413105,-60.97044216
0,0,0,,0,0,,0,0,0,,0,TOX22633,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,c1ccc2c(c1)CCc1ccccc1N2,train,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,3.119627896,-62.81094568
0,0,0,0,0,0,0,0,0,0,0,0,TOX1883,C#CCO,C#CCO,,valid,C#CCO,6.432694382,-12.43060434
0,0,0,0,0,0,0,0,0,0,,0,TOX4463,Nc1ccccc1S(=O)(=O)O,Nc1ccccc1S(=O)(=O)O,c1ccccc1,train,Nc1ccccc1S(=O)(=O)O,3.321596192,-34.74694782
0,0,0,0,0,0,0,0,0,0,0,0,TOX1885,CC(O)CC(C)(C)O,CC(O)CC(C)(C)O,,valid,CC(O)CC(C)(C)O,11.514242420556,-28.11527446
0,0,0,0,0,0,0,0,0,0,0,0,TOX1886,CC(C)(C)CC(C)(C)N,CC(C)(C)CC(C)(C)N,,valid,CC(C)(C)CC(C)(C)N,10.111262759364,-29.73627446
0,0,0,0,0,0,0,0,0,0,0,0,TOX1889,CC(=O)CC(C)C,CC(=O)CC(C)C,,valid,CC(=O)CC(C)C,3.763804335,-23.02072366
0,0,0,0,0,0,0,0,0,0,0,0,TOX1888,CCCC(C)=O,CCCC(C)=O,,valid,CCCC(C)=O,3.81756354,-19.85564501
0,0,1,0,0,0,0,0,0,0,0,0,TOX4465,Nc1nc2ccccc2[nH]1,Nc1nc2ccccc2[nH]1,c1ccc2[nH]cnc2c1,valid,Nc1nc2ccccc2[nH]1,3.510622537,-27.32031768
0,,1,,,0,,1,0,0,1,1,TOX1106,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,c1ccccc1,train,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.369875869,-40.16925509
0,0,0,0,0,0,0,0,0,0,0,0,TOX161,c1ccc(-c2ccccc2)cc1,c1ccc(-c2ccccc2)cc1,c1ccc(-c2ccccc2)cc1,valid,c1ccc(-c2ccccc2)cc1,3.713783482,-30.7639402
0,0,1,0,0,,0,0,0,0,,0,TOX22180,CNC(=O)Nc1ccc(Cl)c(Cl)c1,CNC(=O)Nc1ccc(Cl)c(Cl)c1,c1ccccc1,train,CNC(=O)Nc1ccc(Cl)c(Cl)c1,3.652548637,-40.22916911
0,0,0,0,,0,0,0,0,0,,0,TOX22181,CC(=O)Nc1ccc(C)c(Cl)c1,CC(=O)Nc1ccc(C)c(Cl)c1,c1ccccc1,train,CC(=O)Nc1ccc(C)c(Cl)c1,3.570129136,-35.91286159
0,0,0,0,0,0,0,0,0,1,0,0,TOX22187,CCCCNC(=S)NCCCC,CCCCNC(=S)NCCCC,,valid,CCCCNC(=S)NCCCC,2.581434105,-38.56326297
0,0,0,0,0,0,0,0,0,0,0,0,TOX22188,CCCCNC(=O)NCCCC,CCCCNC(=O)NCCCC,,valid,CCCCNC(=O)NCCCC,5.005585119,-39.39698162
0,0,0,0,0,0,0,0,0,0,0,0,TOX22189,CC(C)N(c1ccccc1)C(C)C,CC(C)N(c1ccccc1)C(C)C,c1ccccc1,train,CC(C)N(c1ccccc1)C(C)C,2.760191389,-38.29299699
0,0,0,0,0,0,0,0,0,0,0,0,TOX7876,CCc1cccc(C)c1,CCc1cccc(C)c1,c1ccccc1,train,CCc1cccc(C)c1,4.502489755,-25.38161518
0,0,0,0,0,0,0,,0,0,0,0,TOX7877,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,c1ccccc1,train,CC(C)CCCCCCCOP(OCCCCCCCC(C)C)Oc1ccccc1,4.276970686,-94.45500113
0,0,0,,0,0,0,0,0,1,0,0,TOX7875,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,,valid,CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,3.578266862,-81.60845265
0,0,0,0,0,0,0,1,0,0,0,0,TOX7870,CCCCCCCCCCC=CC1CC(=O)OC1=O,CCCCCCCCCCC=Cc1cc(O)oc1O,c1ccoc1,train,CCCCCCCCCCC=Cc1cc(O)oc1O,3.409937479,-59.68684539
0,0,,0,0,,,0,0,,1,,TOX4110,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,O=C(CNc1ccccc1)OCc1cccc(Oc2ccccc2)c1,valid,CC(C)C(Nc1ccc(C(F)(F)F)cc1Cl)C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,2.641804065,-103.6339131
0,0,0,0,0,0,0,0,0,0,0,0,TOX4112,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],c1ccc(Oc2ccccc2)cc1,train,CS(=O)(=O)NC(=O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],1.755913901,-89.29248711
0,0,0,1,,0,0,0,0,0,0,0,TOX4113,CCOP(=S)(CC)Sc1ccccc1,CCOP(=S)(CC)Sc1ccccc1,c1ccccc1,train,CCOP(=S)(CC)Sc1ccccc1,3.238104552,-42.144379
0,0,0,0,0,0,0,0,0,0,0,0,TOX27698,CC/C=C\CCCCO,CC/C=C\CCCCO,,valid,CC/C=C\CCCCO,4.920058159,-29.31494821
,0,1,,1,0,0,1,1,0,1,0,TOX27695,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,O=C(Oc1ccc2ccccc2c1)c1ccccc1,train,Nc1ccccc1C(=O)Oc1ccc2ccccc2c1,2.533180569,-54.06070258
0,0,1,0,0,0,0,,0,0,0,0,TOX24280,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,test,C=C[C@H]1CN2CCC1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,1.808676194,-69.01656201
0,0,0,0,0,0,0,0,0,0,0,0,TOX10138,CC(=O)CCC(C)=O,CC(=O)CCC(C)=O,,valid,CC(=O)CCC(C)=O,3.689548376,-26.05289477
0,0,0,0,0,0,0,0,0,0,0,0,TOX21464,N#CCCNCCC#N,N#CCCNCCC#N,,valid,N#CCCNCCC#N,4.668510479,-26.10518048
0,0,0,0,0,0,0,,0,0,,0,TOX21728,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,C(=Cc1ccc(N=Nc2ccccc2)cc1)c1ccc(N=Nc2ccccc2)cc1,valid,CCOc1ccc(N=Nc2ccc(C=Cc3ccc(N=Nc4ccc(OCC)cc4)cc3S(=O)(=O)[O-])c(S(=O)(=O)[O-])c2)cc1,0.060024221,-127.8770605
0,0,,0,0,0,0,1,0,0,,0,TOX21721,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,O=C1c2ccccc2C(=O)C1c1ccc2ccccc2n1,train,O=C1c2ccccc2C(=O)C1c1ccc2cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c2n1,0.015592993,-84.80456192
0,0,0,,,0,0,1,0,0,,0,TOX21726,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,O=C(Nc1ccc2cc(N=Nc3ccc(N=Nc4ccccc4)cc3)ccc2c1)c1ccccc1,train,O=C(Nc1ccc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)[O-])cc4)cc3)c(S(=O)(=O)[O-])cc2c1)c1ccccc1,0.011585514,-125.069572
